iter	Passed	Remaining
0	0	95
1	1	83
2	2	75
3	2	71
4	3	69
5	4	67
6	5	66
7	5	65
8	6	64
9	7	64
10	7	63
11	8	63
12	9	62
13	10	61
14	10	62
15	11	61
16	12	60
17	13	60
18	13	59
19	14	58
20	15	57
21	15	56
22	16	56
23	17	55
24	18	54
25	18	53
26	19	52
27	20	52
28	21	51
29	21	50
30	22	49
31	23	48
32	24	48
33	24	48
34	25	47
35	26	46
36	26	45
37	27	45
38	28	44
39	28	43
40	29	42
41	29	41
42	30	40
43	31	39
44	31	38
45	32	38
46	33	37
47	33	36
48	34	35
49	35	35
50	35	34
51	36	33
52	36	32
53	37	32
54	38	31
55	39	30
56	39	30
57	40	29
58	41	28
59	41	27
60	42	27
61	43	26
62	43	25
63	44	25
64	45	24
65	45	23
66	46	22
67	47	22
68	47	21
69	48	20
70	49	20
71	50	19
72	50	18
73	51	18
74	52	17
75	53	16
76	54	16
77	54	15
78	55	14
79	56	14
80	56	13
81	57	12
82	58	11
83	58	11
84	59	10
85	60	9
86	60	9
87	61	8
88	62	7
89	63	7
90	63	6
91	64	5
92	65	4
93	65	4
94	66	3
95	67	2
96	68	2
97	68	1
98	69	0
99	70	0
