iter	Passed	Remaining
0	143	143253
1	144	72005
2	145	48284
3	146	36429
4	147	29296
5	148	24607
6	149	21256
7	151	18733
8	151	16733
9	152	15119
10	153	13800
11	154	12703
12	155	11776
13	155	10979
14	156	10292
15	157	9693
16	158	9168
17	159	8698
18	160	8276
19	161	7890
20	161	7543
21	162	7237
22	163	6960
23	164	6695
24	165	6452
25	166	6225
26	166	6014
27	167	5817
28	168	5634
29	169	5468
30	170	5314
31	170	5168
32	172	5042
33	172	4912
34	173	4788
35	174	4670
36	175	4564
37	176	4462
38	177	4364
39	177	4270
40	178	4181
41	179	4097
42	180	4015
43	181	3940
44	182	3866
45	183	3796
46	183	3727
47	184	3661
48	185	3597
49	186	3536
50	187	3480
51	187	3424
52	188	3370
53	189	3319
54	190	3267
55	191	3220
56	192	3176
57	193	3134
58	194	3098
59	195	3056
60	195	3013
61	196	2973
62	197	2934
63	198	2898
64	199	2863
65	200	2830
66	200	2797
67	201	2763
68	202	2732
69	203	2700
70	204	2669
71	204	2640
72	205	2613
73	206	2585
74	207	2559
75	208	2536
76	209	2510
77	210	2483
78	210	2459
79	211	2436
80	212	2415
81	213	2394
82	214	2368
83	215	2346
84	216	2325
85	216	2304
86	217	2287
87	218	2267
88	219	2248
89	220	2228
90	221	2209
91	222	2191
92	223	2175
93	224	2159
94	224	2141
95	225	2125
96	226	2110
97	227	2094
98	228	2077
99	229	2061
100	229	2045
101	230	2031
102	231	2016
103	232	2000
104	233	1986
105	233	1972
106	234	1958
107	235	1944
108	237	1937
109	237	1924
110	238	1911
111	239	1898
112	240	1885
113	241	1873
114	241	1860
115	242	1848
116	243	1836
117	244	1825
118	245	1815
119	246	1804
120	247	1798
121	248	1785
122	248	1774
123	249	1765
124	250	1754
125	251	1744
126	252	1734
127	253	1724
128	253	1714
129	254	1706
130	255	1697
131	256	1689
132	257	1680
133	258	1670
134	259	1662
135	260	1653
136	261	1644
137	262	1638
138	263	1631
139	264	1623
140	265	1616
141	265	1606
142	266	1598
143	267	1591
144	269	1586
145	270	1580
146	271	1573
147	272	1567
148	273	1560
149	274	1553
150	275	1546
151	276	1541
152	277	1533
153	277	1526
154	278	1519
155	279	1512
156	280	1505
157	281	1500
158	282	1493
159	283	1488
160	284	1480
161	284	1473
162	285	1467
163	286	1461
164	287	1455
165	288	1450
166	289	1443
167	290	1438
168	291	1431
169	292	1425
170	292	1420
171	294	1415
172	294	1409
173	295	1403
174	296	1397
175	297	1393
176	298	1388
177	299	1382
178	300	1377
179	301	1372
180	302	1366
181	302	1360
182	303	1355
183	304	1349
184	305	1344
185	306	1340
186	307	1335
187	308	1330
188	308	1325
189	309	1320
190	310	1315
191	311	1311
192	313	1308
193	314	1304
194	314	1299
195	315	1294
196	316	1290
197	317	1286
198	318	1281
199	319	1277
200	320	1273
201	321	1268
202	321	1264
203	322	1259
204	323	1254
205	324	1250
206	325	1246
207	326	1242
208	327	1238
209	328	1233
210	328	1229
211	329	1224
212	330	1220
213	331	1216
214	332	1212
215	332	1208
216	333	1204
217	334	1200
218	335	1196
219	336	1192
220	337	1189
221	338	1185
222	338	1180
223	339	1176
224	340	1173
225	341	1169
226	342	1165
227	343	1162
228	344	1159
229	345	1155
230	346	1152
231	346	1148
232	347	1144
233	348	1140
234	349	1137
235	350	1135
236	351	1132
237	352	1130
238	354	1127
239	355	1124
240	356	1121
241	357	1118
242	358	1115
243	359	1112
244	360	1109
245	361	1107
246	362	1105
247	363	1102
248	364	1099
249	365	1096
250	366	1093
251	367	1091
252	368	1088
253	369	1085
254	370	1082
255	371	1078
256	372	1075
257	372	1072
258	373	1069
259	374	1066
260	375	1063
261	376	1060
262	377	1057
263	378	1053
264	378	1050
265	379	1047
266	381	1047
267	382	1044
268	383	1043
269	385	1041
270	386	1038
271	387	1036
272	388	1034
273	389	1031
274	390	1029
275	391	1026
276	392	1023
277	393	1022
278	394	1019
279	395	1017
280	396	1015
281	397	1012
282	398	1010
283	399	1008
284	400	1005
285	401	1003
286	402	1000
287	403	997
288	404	995
289	405	993
290	407	992
291	408	989
292	409	987
293	410	984
294	410	981
295	411	979
296	412	976
297	413	974
298	414	971
299	415	968
300	415	965
301	416	963
302	417	961
303	418	959
304	420	958
305	421	956
306	422	954
307	423	951
308	424	949
309	425	947
310	426	945
311	427	942
312	428	940
313	429	938
314	430	935
315	431	933
316	432	930
317	432	928
318	434	926
319	434	924
320	435	921
321	436	918
322	437	916
323	438	914
324	439	911
325	439	909
326	440	907
327	441	905
328	442	903
329	443	901
330	444	899
331	445	896
332	446	893
333	447	891
334	448	889
335	448	887
336	450	885
337	451	884
338	452	882
339	453	880
340	454	877
341	455	875
342	456	873
343	456	871
344	457	868
345	458	866
346	459	864
347	460	862
348	461	860
349	462	858
350	463	856
351	464	854
352	464	851
353	465	849
354	466	846
355	467	845
356	468	843
357	469	842
358	470	840
359	471	838
360	472	835
361	473	833
362	473	831
363	475	830
364	476	828
365	477	827
366	478	825
367	479	823
368	480	821
369	481	820
370	482	818
371	483	816
372	484	813
373	484	811
374	485	809
375	486	807
376	487	805
377	488	803
378	489	802
379	490	800
380	491	798
381	492	796
382	493	794
383	494	792
384	495	790
385	495	788
386	496	787
387	497	784
388	498	782
389	499	781
390	500	779
391	501	777
392	501	775
393	502	773
394	503	771
395	504	769
396	505	767
397	506	765
398	507	763
399	508	762
400	509	760
401	509	758
402	510	756
403	511	755
404	512	753
405	513	751
406	514	749
407	515	748
408	516	746
409	517	744
410	518	742
411	519	741
412	520	739
413	521	737
414	521	735
415	522	733
416	523	732
417	525	731
418	526	729
419	527	728
420	528	726
421	529	724
422	530	723
423	531	722
424	532	720
425	533	718
426	534	716
427	535	715
428	535	713
429	536	711
430	538	710
431	539	709
432	540	708
433	541	706
434	542	704
435	543	703
436	544	701
437	545	699
438	546	697
439	547	696
440	548	694
441	548	692
442	549	691
443	550	689
444	551	687
445	552	686
446	553	684
447	554	683
448	555	681
449	556	680
450	557	678
451	558	676
452	559	675
453	560	673
454	561	671
455	562	670
456	563	669
457	564	667
458	565	666
459	565	664
460	566	662
461	567	661
462	568	659
463	570	658
464	570	656
465	571	655
466	572	653
467	573	651
468	574	649
469	574	648
470	575	646
471	577	645
472	578	644
473	579	642
474	579	640
475	580	639
476	581	637
477	582	636
478	583	634
479	584	633
480	585	631
481	586	629
482	587	628
483	588	627
484	589	625
485	589	623
486	590	622
487	591	620
488	591	618
489	592	616
490	593	615
491	594	613
492	595	612
493	596	610
494	596	608
495	597	607
496	598	605
497	598	603
498	599	602
499	600	600
500	601	599
501	602	597
502	603	596
503	604	594
504	605	593
505	606	592
506	607	590
507	608	589
508	609	587
509	610	586
510	611	584
511	612	583
512	613	582
513	613	580
514	614	578
515	615	577
516	617	577
517	619	576
518	620	574
519	621	573
520	621	571
521	622	570
522	623	568
523	624	567
524	625	566
525	626	564
526	627	563
527	629	562
528	629	560
529	631	559
530	632	558
531	633	557
532	634	555
533	635	554
534	636	553
535	637	551
536	638	550
537	639	548
538	640	547
539	641	546
540	642	544
541	643	543
542	644	542
543	645	540
544	646	539
545	646	537
546	647	536
547	648	534
548	649	533
549	650	532
550	651	530
551	652	529
552	652	527
553	653	526
554	654	524
555	655	523
556	656	522
557	657	520
558	658	519
559	659	517
560	660	516
561	660	515
562	661	513
563	663	512
564	664	511
565	664	509
566	665	508
567	666	507
568	667	505
569	669	504
570	670	503
571	671	502
572	672	500
573	673	499
574	674	498
575	675	497
576	676	496
577	678	495
578	679	493
579	679	492
580	680	490
581	681	489
582	682	488
583	683	486
584	684	485
585	685	484
586	686	482
587	687	481
588	688	480
589	688	478
590	689	477
591	690	475
592	691	474
593	692	473
594	692	471
595	693	470
596	694	469
597	695	467
598	696	466
599	697	464
600	697	463
601	698	462
602	699	460
603	700	459
604	701	458
605	702	456
606	703	455
607	704	454
608	705	452
609	706	451
610	707	450
611	708	448
612	708	447
613	709	446
614	710	444
615	711	443
616	712	442
617	713	440
618	714	439
619	715	438
620	716	436
621	716	435
622	717	434
623	718	433
624	719	431
625	720	430
626	721	428
627	721	427
628	722	426
629	723	424
630	724	423
631	725	422
632	725	420
633	726	419
634	727	418
635	728	416
636	729	415
637	729	414
638	730	412
639	731	411
640	733	410
641	733	409
642	734	407
643	735	406
